appId,labels,type,taxId,isZoonotic,hostClass,taxRank,communityId,taxOrder,displayLabel,pageRankSotu,louvainCommunityId,zoonoticColorCodes,communityColorCodes,sourceAppId,hostCount,hostCountNormalized
u19525,"['Palmprint', 'SOTU']",SOTU,172314,True,nan,no rank,93,Picornavirales,u19525,0.25507627383415676,332.0,1,5,u19525,1.0,0.0
u8640,"['Palmprint', 'SOTU']",SOTU,44024,True,nan,species,2,Amarillovirales,u8640,0.32488970124119726,208.0,1,2,,,
u9322,"['Palmprint', 'SOTU']",SOTU,44024,True,nan,species,6,Amarillovirales,u9322,0.26478464725715445,208.0,1,6,,,
u5523,"['Palmprint', 'SOTU']",SOTU,904679,False,nan,no rank,58,Bunyavirales,u5523,0.15000000000000002,215.0,0,3,,,
u157886,"['Palmprint', 'SOTU']",SOTU,11033,True,nan,species,32,Martellivirales,u157886,0.798902531227587,193.0,1,10,,,
u869564,"['Palmprint', 'SOTU']",SOTU,11033,True,nan,species,95,Martellivirales,u869564,0.15000000000000002,176.0,1,7,,,
u240559,"['Palmprint', 'SOTU']",SOTU,11033,True,nan,species,32,Martellivirales,u240559,0.48093635934444623,193.0,1,10,u240559,2.0,0.0
u1019643,"['Palmprint', 'SOTU']",SOTU,11033,True,nan,species,96,Martellivirales,u1019643,0.15000000000000002,178.0,1,8,,,
u6076,"['Palmprint', 'SOTU']",SOTU,64295,True,nan,species,2,Amarillovirales,u6076,0.29944153719127886,208.0,1,2,u6076,3.0,0.0
u1631,"['Palmprint', 'SOTU']",SOTU,11084,True,nan,species,2,Amarillovirales,u1631,0.1780942495848596,208.0,1,2,u1631,3.0,0.0
